entry_time,exit_time,side,entry,exit,sl,tp,profit,reason,hold_min
2016.01.05 03:48,2016.01.05 12:00,sell,175.848,174.69,177.006,174.69,12690.0,5,492
2016.01.07 02:36,2016.01.07 03:41,sell,173.592,172.62,174.459,172.62,10645.0,5,65
2016.01.08 02:36,2016.01.08 18:41,sell,172.072,170.545,173.561,170.545,16750.0,5,965
2016.01.12 02:24,2016.01.12 03:24,buy,170.955,171.155,169.621,172.559,2153.0,4,60
2016.01.11 10:12,2016.01.12 10:24,sell,170.949,170.749,172.298,169.085,1918.0,4,1452
2016.01.13 01:48,2016.01.14 08:41,sell,170.109,169.909,171.362,168.833,1447.0,4,1853
2016.01.14 08:24,2016.01.14 14:00,sell,169.674,169.474,170.458,168.89,2153.0,4,336
2016.01.15 05:36,2016.01.15 09:04,buy,169.893,169.109,169.109,170.811,-8671.0,4,208
2016.01.19 00:12,2016.01.19 07:37,buy,167.099,168.054,166.197,168.054,10459.0,5,445
2016.01.18 05:36,2016.01.20 08:11,sell,167.429,165.107,169.446,165.107,25027.0,5,3035
2016.01.21 00:12,2016.01.21 10:09,sell,165.86,165.66,167.171,164.312,2154.0,4,597
2016.01.25 02:00,2016.01.25 09:37,buy,168.996,169.196,167.489,170.783,2153.0,4,457
2016.01.26 13:12,2016.01.26 13:41,sell,168.172,168.467,168.467,167.877,-3291.0,4,29
2016.01.28 04:00,2016.01.28 10:21,sell,169.459,169.779,169.779,168.289,-3567.0,4,381
2016.01.27 03:36,2016.01.28 13:45,buy,169.417,169.617,167.822,171.129,2483.0,4,2049
2016.01.29 04:00,2016.01.29 05:38,buy,170.233,170.433,169.114,171.602,2153.0,4,98
2016.02.01 12:00,2016.02.01 20:49,buy,172.611,174.437,170.785,174.437,20038.0,5,529
2016.02.02 05:48,2016.02.02 11:32,buy,173.982,172.994,172.994,175.604,-11908.0,4,344
2016.02.03 09:12,2016.02.03 16:25,sell,172.937,173.733,173.733,172.141,-9604.0,4,433
2016.02.04 01:48,2016.02.04 14:31,sell,172.36,170.863,173.582,170.863,16420.0,5,763
2016.02.08 02:24,2016.02.08 06:38,sell,169.7,170.257,170.257,168.697,-6735.0,4,254
2016.02.09 10:00,2016.02.09 14:52,sell,166.378,165.195,167.561,165.195,14146.0,5,292
2016.02.10 00:12,2016.02.10 04:14,sell,166.5,166.3,167.664,165.005,2350.0,4,242
2016.02.12 00:12,2016.02.15 05:02,sell,162.672,165.262,165.262,159.981,-31387.0,4,4610
2016.02.16 08:00,2016.02.16 10:42,buy,165.278,166.02,164.536,166.02,8116.0,5,162
2016.02.17 11:36,2016.02.19 02:54,sell,162.938,161.66,164.216,161.66,13073.0,5,2358
2016.02.24 09:12,2016.02.24 11:14,sell,156.897,156.086,157.708,156.086,9685.0,5,122
2016.02.25 00:12,2016.02.25 14:25,sell,156.236,157.429,157.429,154.818,-14363.0,4,853
2016.02.26 08:00,2016.02.26 11:47,buy,157.227,158.499,156.364,158.499,15216.0,5,227
2016.03.01 06:00,2016.03.01 09:40,sell,156.856,157.736,157.736,155.976,-10607.0,4,220
2016.03.02 22:24,2016.03.03 03:58,buy,159.57,160.306,158.834,160.306,9144.0,5,334
2016.03.04 04:00,2016.03.04 11:11,buy,160.522,160.722,160.075,161.741,2352.0,4,431
2016.03.07 02:24,2016.03.07 10:44,buy,161.472,160.707,160.707,162.73,-9228.0,4,500
2016.03.09 11:12,2016.03.09 17:46,sell,160.091,161.026,161.026,159.156,-11268.0,4,394
2016.03.10 09:24,2016.03.10 15:02,buy,161.001,161.786,160.216,161.786,9371.0,5,338
2016.03.11 01:36,2016.03.11 12:20,buy,161.258,162.786,160.611,162.786,18287.0,5,644
2016.03.14 10:24,2016.03.15 06:49,buy,163.225,161.708,161.708,164.764,-18133.0,4,1225
2016.03.17 06:12,2016.03.17 06:53,buy,160.385,159.813,159.813,161.118,-6912.0,4,41
2016.03.16 03:12,2016.03.17 14:09,sell,160.417,160.217,162.016,158.818,1582.0,4,2097
2016.03.18 02:48,2016.03.21 00:10,buy,160.794,160.994,159.634,162.213,2472.0,4,4162
2016.03.23 11:48,2016.03.24 18:06,sell,159.691,159.491,161.129,158.253,1582.0,4,1818
2016.03.24 03:48,2016.03.24 19:12,sell,158.965,159.61,159.61,158.073,-7788.0,4,924
2016.03.30 03:12,2016.03.30 08:14,buy,161.88,161.433,161.433,162.609,-5412.0,4,302
2016.03.31 11:24,2016.03.31 14:05,sell,161.577,162.019,162.019,161.135,-4907.0,4,161
2016.04.04 11:12,2016.04.04 12:32,sell,158.918,158.718,160.139,157.697,2156.0,4,80
2016.04.06 05:24,2016.04.06 14:27,sell,156.526,154.996,158.056,154.996,16787.0,5,543
2016.04.11 00:12,2016.04.11 11:15,buy,152.542,153.903,151.579,153.903,16286.0,5,663
2016.04.08 03:12,2016.04.11 16:20,sell,152.636,154.372,154.372,150.678,-21135.0,4,5108
2016.04.12 17:12,2016.04.12 18:19,buy,154.291,154.783,153.799,154.783,5858.0,5,67
2016.04.13 10:24,2016.04.13 16:45,buy,154.847,155.047,153.909,155.785,2353.0,4,381
2016.04.14 04:24,2016.04.14 05:02,buy,155.007,154.709,154.709,155.797,-3622.0,4,38
2016.04.15 00:12,2016.04.15 18:42,sell,154.789,154.589,155.487,153.998,2354.0,4,1110
2016.04.18 11:48,2016.04.18 11:48,sell,153.897,153.939,153.939,153.855,-550.0,4,0
2016.04.20 04:24,2016.04.21 04:29,buy,156.813,157.013,155.718,158.196,2713.0,4,1445
2016.04.22 05:36,2016.04.22 07:44,sell,157.029,157.883,157.883,156.11,-10295.0,4,128
2016.04.25 08:00,2016.04.25 17:12,buy,160.299,160.499,158.232,162.366,2352.0,4,552
2016.04.26 00:12,2016.04.26 15:14,sell,161.073,161.877,161.877,160.064,-9697.0,4,902
2016.04.27 06:36,2016.04.27 15:20,buy,161.949,162.149,160.906,163.16,2155.0,4,524
2016.04.29 15:36,2016.04.29 20:44,sell,157.039,155.772,158.306,155.772,13894.0,5,308
2016.05.03 03:12,2016.05.03 13:38,buy,155.854,155.107,155.107,156.869,-9011.0,4,626
2016.05.02 13:48,2016.05.04 00:38,sell,155.928,155.728,157.157,154.342,1839.0,4,2090
2016.05.04 00:24,2016.05.04 00:38,sell,155.157,155.923,155.923,154.177,-9239.0,4,14
2016.05.09 01:36,2016.05.09 11:46,sell,154.667,155.516,155.516,153.514,-9382.0,4,610
2016.05.11 04:48,2016.05.11 10:51,buy,157.3,156.562,156.562,158.47,-8161.0,4,363
2016.05.12 07:00,2016.05.12 12:37,sell,156.876,157.592,157.592,155.988,-7919.0,4,337
2016.05.13 03:36,2016.05.13 09:48,buy,157.295,156.32,156.32,158.569,-10768.0,4,372
2016.05.16 05:36,2016.05.16 19:06,sell,156.401,156.987,156.987,154.992,-6489.0,4,810
2016.05.17 17:12,2016.05.17 17:21,buy,157.406,157.503,157.309,157.503,1024.0,5,9
2016.05.18 01:36,2016.05.18 14:09,buy,157.683,158.88,156.83,158.88,13123.0,5,753
2016.05.19 17:00,2016.05.20 09:59,buy,160.232,160.432,158.322,162.142,2266.0,4,1019
2016.05.24 04:12,2016.05.24 10:51,sell,158.491,159.332,159.332,157.524,-9295.0,4,399
2016.05.25 06:48,2016.05.25 15:31,buy,160.526,161.962,159.09,161.962,15751.0,5,523
2016.05.26 03:24,2016.05.26 11:44,buy,161.362,161.562,160.736,162.841,2156.0,4,500
2016.05.27 04:12,2016.05.27 10:34,sell,161.316,161.116,161.872,160.405,2156.0,4,382
2016.05.31 02:48,2016.05.31 04:41,buy,162.284,163.295,161.6,163.295,11076.0,5,113
2016.06.03 04:36,2016.06.03 07:51,sell,157.148,156.393,157.786,156.393,8262.0,5,195
2016.06.06 10:36,2016.06.06 17:36,sell,154.485,155.284,155.284,153.686,-8832.0,4,420
2016.06.07 17:36,2016.06.07 17:36,buy,156.2,156.094,156.094,156.306,-1209.0,4,0
2016.06.08 01:12,2016.06.09 04:09,buy,156.038,154.731,154.731,157.697,-14090.0,4,1617
2016.06.10 00:12,2016.06.10 10:21,sell,154.725,153.813,155.487,153.813,9990.0,5,609
2016.06.13 16:36,2016.06.13 16:38,sell,151.135,150.931,151.339,150.931,2202.0,5,2
2016.06.14 03:12,2016.06.14 09:16,sell,151.208,149.855,152.561,149.855,14842.0,5,364
2016.06.15 04:12,2016.06.15 11:32,sell,149.917,151.083,151.083,148.749,-14037.0,4,440
2016.06.16 03:12,2016.06.16 05:34,buy,150.118,149.507,149.507,151.379,-6762.0,4,142
2016.06.17 00:12,2016.06.20 00:05,sell,148.043,150.673,150.673,145.392,-29206.0,4,4313
2016.06.21 00:12,2016.06.21 10:00,buy,152.261,153.834,151.072,153.834,17261.0,5,588
2016.06.22 05:24,2016.06.22 18:30,buy,153.297,153.497,152.001,154.655,2158.0,4,786
2016.06.28 04:24,2016.06.28 15:12,sell,134.984,137.126,137.126,132.842,-23600.0,4,648
2016.06.29 03:24,2016.06.29 15:41,buy,136.576,138.236,135.048,138.236,18222.0,5,737
2016.06.30 04:12,2016.06.30 18:01,buy,137.934,136.458,136.458,139.41,-16274.0,4,829
2016.07.01 02:12,2016.07.01 20:51,sell,137.596,135.845,138.811,135.845,19224.0,5,1119
2016.07.05 03:12,2016.07.05 03:20,buy,136.016,135.758,135.758,136.721,-2875.0,4,8
2016.07.04 05:12,2016.07.05 04:29,sell,136.395,135.232,137.148,135.232,12521.0,5,1397
2016.07.06 10:36,2016.07.06 10:57,sell,131.312,130.892,131.732,130.892,5001.0,5,21
2016.07.11 01:24,2016.07.11 06:58,sell,130.337,130.558,130.558,129.274,-2691.0,4,334
2016.07.08 03:24,2016.07.11 08:06,sell,130.442,131.45,131.45,129.065,-12392.0,4,4602
2016.07.07 00:12,2016.07.11 13:59,sell,130.959,132.741,132.741,128.969,-21938.0,4,6587
2016.06.27 23:48,2016.07.12 05:05,sell,134.982,134.782,141.454,128.51,-1364.0,4,20477
2016.07.14 05:12,2016.07.14 06:08,sell,137.397,138.456,138.456,136.338,-11687.0,4,56
2016.07.13 05:36,2016.07.14 14:00,buy,137.866,141.065,134.667,141.065,35480.0,5,1944
2016.07.15 13:36,2016.07.15 19:19,buy,140.932,138.846,138.846,143.018,-22984.0,4,343
2016.07.19 04:12,2016.07.19 19:08,buy,140.274,138.891,138.891,141.878,-15251.0,4,896
2016.07.18 01:24,2016.07.20 11:51,sell,140.323,140.123,141.667,136.191,1691.0,4,3507
2016.07.20 08:48,2016.07.20 12:27,sell,139.136,140.278,140.278,137.994,-12601.0,4,219
2016.07.21 11:36,2016.07.21 12:35,buy,139.498,139.15,139.15,142.317,-3866.0,4,59
2016.07.22 00:48,2016.07.22 16:54,sell,140.281,138.577,141.905,138.577,18706.0,5,966
